 Salud      Magia      Fuerza     Velocidad  Suerte    
 14          9         21          4         55
 10         20          2          4         54
  8          1          7          3          7
 14         30          7          2         42
 14         13         12          3         94
 14          0          1          2         31
  8         18         30          5         46
 13         22         24          3         78
 11         28         23          4         90
 13          4         42          5         74
 14         21          7          3         43
 11         22         18          1         78
 16         11         11          4         31
 18          0         25          3         76
 18          0         47          2         75
 17         26          6          5         20
 14          7         35          3          0
 15         14         36          4         57
 10         25         15          5         81
 19         27         37          3         44
  8         13         41          3         92
  7          0         38          1         47
 12          9         10          1         51
  9          0         22          3         52
 18         21         41          2         57
 14         19         13          4         52
  9          8         43          5          8
 10         17         48          4         90
 10         22         25          1         76
 19         29         21          4         45
 16          8          1          2         92
 19          8          7          2         54
  5         13         50          4         81
 13          5         13          2         54
 14          6         26          3         10
 16          3         47          2         55
 20          4          3          2         24
 16          7         10          5         57
 15         29         37          1         16
  6         11         14          4         31
 12          5          9          4         49
 15          8          6          1         31
  7          3         22          5         87
  5          5         17          2          5
 12         18         42          4         89
 14          7         17          4         75
 14         17         19          3         20
 20         11         32          5         24
  5          6         26          4         24
 15         24         43          2         74
 15          5          6          5         99
  6         17          1          4        100
 15         20         20          5         67
 12         22         34          3         63
  6          6         47          1         33
  5          6         13          5         35
 15          9         12          1         33
 16         10         17          4         35
 10         20         11          3         33
 14          4         43          1         24
 20          2          5          4         59
  6         12         38          2         54
  9          4          1          1         26
 12         17         35          5         19
 17          9         12          4         53
  7          9          9          5         29
 19         22         27          3         85
 17         22          7          3         68
 14         10         35          5         91
  8         16         30          5         77
  5         19         39          4         84
 14         16         28          3         61
 11         21         35          3         21
 10         22          4          1         38
  6          2         22          4         45
  7          9          5          2         46
  5         29         50          1         28
 19         20         18          2         44
 10         23          7          4         62
 11         16         18          5         76
 16         13         18          3         31
 15         20         21          5         69
  8         18         18          5          1
 10         24          4          3         50
 15         18         32          4         30
 19         27         12          3         78
 10         12         22          2         71
 17          2         39          2         62
 11         20          2          3         20
 12         18         44          3         94
  5         26         31          5         97
 10          8          4          1          0
 18          9         31          1         43
  8         27         33          3         36
  9         13          4          1         80
 16         29         48          3         73
 17         13         11          1         55
 16          4          8          2          0
  9         19         13          5         54
 10         20         22          5         85
 17         20         50          2         53
  5          0         10          4         48
  5          1          1          4         61
  9          9         12          2         61
  9         21         11          1         88
 10         19         30          1         17
 11          0         10          4         52
 14         25         19          5         81
 16          4          3          4          0
  5          0         37          1         90
 15         14         17          2         90
 13          4         20          2         69
  7         22          2          2          3
 18         23         14          3         60
 20         25         44          5         79
  7         23          7          4         91
  9         20         33          4         17
  6          6         34          2         22
 14         25         27          3         48
  7         29         31          3         88
 19         30         16          5         74
 10          0         11          3         96
 17         14         13          5         38
  7         24         31          2         88
  5         13         48          5         65
 12         23          7          3         18
  6         15         42          3          1
 10         12         22          1         97
 12         13          6          2         79
 12          8         35          2         64
 10         28         18          3         20
  5         29         30          3         39
 10         25         24          3         81
 18         16          4          4         51
  8         12         44          5         83
 13         10          2          1         89
  6         20         29          1         18
  5          9         48          5         67
  7         14         42          1         98
  5          8         23          2         93
  7          6         40          1         30
 14         10          9          4         92
 12         28         38          5          6
 18         12         46          3         89
 12         23         36          5         29
 15          2         18          1         66
 19         21          4          2         33
  6         26         23          4         71
 19         22         22          2         65
 19          7         30          4         72
  6         20         18          2         42
  5         30         20          3         18
 15          5         22          1         23
  7         14         23          1         88
 16          2         44          4         71
 19         15         34          5         69
 15         29         43          5         34
  5         29         26          4         68
 10          9         12          4         46
 10          8         34          3         64
 14          8         12          5         97
 16          9          4          3         69
 14         14          5          5         48
 14         14         45          4         91
  8          9         15          3         89
 15         18         30          4         29
 10          7         18          4         56
  9         20         45          4         30
  8         21         41          3         66
  8         10         40          4         55
 17          8         30          3         83
  7         22          4          1         32
 10          2         39          1          0
 14         25         48          4         21
 10         27         20          1          4
 14          1         31          1         95
 10         11          8          3         57
 19         15         28          4         40
 18          5         45          2         92
 18         16         37          2         12
  5          5          7          5         36
  6         22         12          5         65
 14          3         38          5         51
 16         20         32          3         97
 15         25         33          2         70
  5          2         39          5         28
  9         12         36          3         49
 20         11         10          2         77
 16          7         35          1         12
 19          6         38          4         58
  6         14         36          1         71
  8         20         28          5         54
 15          0         10          4         23
 18         23         45          4         84
  7         13         31          3         40
  7         20          7          1         64
 12         13         45          1         29
 11         13          1          4         50
  9         30          3          3          2
  5          5          4          1         76
 20          4         40          4         40
 10         11         32          1         51
  6         25         46          2         13
 14         13         31          5         62
 15          4         44          3         49
 12         29         49          2         25
 16          2         38          5         58
 17         30         41          4          5
  6         23         21          4         30
 19          8         31          4         58
 14          1         24          1         57
 11          7         13          2         29
 17         18         41          1          6
 12         18         10          2         47
 14         29         32          4          6
 19         21         40          3         18
  5          7         41          1         39
 17         11         20          4         63
 18          3         49          5          2
 16         26          9          3         70
 10         13         50          2          8
 19          1         21          3         36
  8          9          7          5         39
 18          9         10          1         37
 13         20         23          5         37
 13         25         31          1         38
  6         30         12          1         12
 12         10         31          3         80
 13         25          2          5         26
  6         17         15          2         15
  8          2         26          5          7
  8         28         46          2         35
 12         10         42          1         38
 16         25         37          3         69
 15         15         10          5         59
 10         23          3          2         64
 17         19         27          2         39
 18         28         21          1         79
 14          7         16          4         64
 14         23         27          5         96
 13         29         32          3          7
 18         27         43          2         23
  5         27         21          2         91
 15         18         26          2         57
 20          1         19          2         95
 19         17          4          2          0
  8         20         11          1         47
 18          7          5          5         37
